Format Version,1.0,
Take Name,TrunkStability_DS_MOCAP_Raw_9,
Capture Frame Rate,1920.00,
Export Frame Rate,120.00,
Capture Start Time,09 Aug 2021 09:22:57 -0400,
Total Frames In Take,1605,
Total Exported Frames,25680,
Coordinate Space,Local,
Device Name,NIDAQ USB-6343 (BNC) 31369206,
Device Type,1,
Device Channel Count,10,
Mocap Rate,120.00,
Mocap Rate Multiple,16.00

MocapFrame, MocapTime, DeviceFrame,ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
0,0.000000,0,-0.007939,-0.016808,0.022285,0.019000,0.004217,-0.007282,-0.028964,0.023599,0.024585,0.055137
0,0.000000,1,-0.002025,-0.013852,0.023599,0.013086,0.011444,-0.007282,-0.026335,0.022942,0.014072,0.037397
0,0.000000,2,-0.006953,-0.004325,0.019328,0.014729,0.011772,-0.006624,-0.028307,0.029184,0.009144,0.028198
0,0.000000,3,-0.004325,-0.007610,0.015058,0.015058,0.009801,-0.005639,-0.028307,0.024913,0.021299,-0.004982
0,0.000000,4,-0.005310,-0.003996,0.018671,0.011444,0.007502,-0.003339,-0.029621,0.024585,0.005531,-0.000054
0,0.000000,5,-0.005310,-0.011224,0.016700,0.017686,0.008159,-0.004653,-0.026664,0.024256,0.006188,0.000274
0,0.000000,6,-0.008267,-0.015494,0.016372,0.020314,0.008159,-0.002025,-0.026993,0.024913,0.001260,0.005859
0,0.000000,7,-0.009581,-0.014837,0.017029,0.023928,0.007830,0.001588,-0.028307,0.026556,-0.004982,-0.002354
0,0.000000,8,-0.005639,-0.010895,0.010130,0.018671,0.008816,-0.002354,-0.026993,0.025242,0.007830,0.027213
0,0.000000,9,-0.003996,-0.010567,0.019000,0.022942,0.002574,-0.000711,-0.026007,0.026556,0.012101,0.015386
0,0.000000,10,-0.004325,-0.008267,0.017357,0.023928,0.009473,-0.003668,-0.027650,0.025899,0.010458,0.016700
0,0.000000,11,-0.003668,-0.004982,0.015058,0.025570,0.005859,-0.000054,-0.026993,0.025899,0.005202,0.019000
0,0.000000,12,-0.002025,-0.015166,0.017686,0.024256,0.005531,0.000603,-0.028635,0.018343,0.031155,0.016372
0,0.000000,13,-0.003011,-0.009253,0.019000,0.024585,0.005202,0.003888,-0.029621,0.021956,0.004545,0.005202
0,0.000000,14,-0.001040,-0.011881,0.018014,0.019657,0.010458,0.001588,-0.027650,0.021628,0.019000,0.025899
0,0.000000,15,-0.000711,-0.011881,0.017357,0.022613,0.002574,-0.003011,-0.021079,0.023270,0.023270,0.029841
1,0.008333,16,-0.001697,-0.011881,0.020971,0.019985,0.002902,-0.002354,-0.030278,0.024913,0.035426,0.045938
1,0.008333,17,0.001588,-0.012866,0.019328,0.020314,0.002245,-0.003339,-0.030278,0.023270,0.035097,0.046924
1,0.008333,18,0.001588,-0.014180,0.016700,0.027870,-0.002025,-0.005967,-0.030935,0.021628,0.034440,0.053165
1,0.008333,19,0.002245,-0.011224,0.021299,0.020642,-0.001368,-0.006296,-0.032906,0.023270,0.037397,0.048566
1,0.008333,20,0.000931,-0.007939,0.020314,0.021628,-0.001368,-0.007282,-0.025678,0.021956,0.041667,0.048238
1,0.008333,21,0.001260,-0.008596,0.019657,0.021956,0.001260,-0.003668,-0.030278,0.016043,0.043638,0.058422
1,0.008333,22,0.001588,-0.009910,0.025242,0.023599,0.001260,-0.001368,-0.030278,0.024913,0.032469,0.057108
1,0.008333,23,0.000931,-0.009253,0.014401,0.031812,0.000274,-0.002025,-0.030935,0.022942,0.015386,0.051523
1,0.008333,24,-0.001368,-0.007610,0.016700,0.025242,0.007830,-0.006296,-0.028635,0.023599,0.035097,0.045938
1,0.008333,25,0.000274,-0.005967,0.019328,0.022942,0.005531,-0.005310,-0.028635,0.024256,0.033783,0.048238
1,0.008333,26,-0.000383,0.003560,0.018671,0.023270,0.011115,-0.005310,-0.022065,0.028855,0.031812,0.045938
1,0.008333,27,0.003888,-0.004325,0.026884,0.022942,0.010458,-0.001368,-0.029621,0.026556,0.028527,0.026556
1,0.008333,28,0.004874,0.000931,0.014401,0.023599,0.008816,0.001588,-0.031920,0.022942,0.022942,0.038382
1,0.008333,29,0.009144,0.000274,0.016700,0.022942,0.011444,-0.003011,-0.030278,0.022285,0.020642,0.019985
1,0.008333,30,0.014072,0.000931,0.018671,0.022613,0.010458,0.002574,-0.029292,0.009801,0.012429,0.024585
1,0.008333,31,0.008487,-0.000383,0.017686,0.024913,0.008487,0.003560,-0.030935,0.020971,0.008816,0.015715
2,0.016667,32,0.002574,-0.001697,0.019328,0.025899,0.009801,0.002574,-0.029292,0.019657,0.014401,0.007502
2,0.016667,33,0.000274,-0.004653,0.020642,0.029841,-0.001697,0.006845,-0.030278,0.020971,0.009801,0.000603
